Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2009-06-30 00:00:00-04:00,29467.503884245438,31286.485605495156,28416.536667523378,29898.669921875,2912,0.0,0.0,0.0
2009-07-01 00:00:00-04:00,28995.9160305881,29939.09173790277,27985.370629893816,29898.669921875,3059,0.0,0.0,0.0
2009-07-02 00:00:00-04:00,31313.430102351034,33307.572811106606,31232.586479023103,33240.203125,2286,0.0,0.0,0.0
2009-07-06 00:00:00-04:00,35369.08399593195,36514.36862056213,34156.4296875,34156.4296875,3598,0.0,0.0,0.0
2009-07-07 00:00:00-04:00,34425.906245705846,36972.4801323745,34291.16688662284,36770.37109375,2970,0.0,0.0,0.0
2009-07-08 00:00:00-04:00,37215.01505941499,38872.309357861064,35678.98619744059,36851.21875,3414,0.0,0.0,0.0
2009-07-09 00:00:00-04:00,35247.8277087242,36635.64355505394,34358.54765185272,35908.05078125,2752,0.0,0.0,0.0
2009-07-10 00:00:00-04:00,37565.34385898495,38158.19720539648,36554.79838214712,36703.01171875,2239,0.0,0.0,0.0
2009-07-13 00:00:00-04:00,36406.581456096625,38683.677039398004,34991.81792800997,35140.03125,2531,0.0,0.0,0.0
2009-07-14 00:00:00-04:00,33779.1573953125,35032.2334375,33347.9914453125,33684.83984375,2069,0.0,0.0,0.0
2009-07-15 00:00:00-04:00,32000.600448054403,32121.865881331243,29939.088082348164,30060.353515625,2566,0.0,0.0,0.0
2009-07-16 00:00:00-04:00,30882.265610559152,31124.79649231747,28712.96161260975,29157.6015625,2176,0.0,0.0,0.0
2009-07-17 00:00:00-04:00,29386.661755095745,30019.93690525141,28281.79872716459,28672.54296875,1751,0.0,0.0,0.0
2009-07-20 00:00:00-04:00,27527.255677889934,28807.2798038809,27028.719965661872,27405.990234375,2436,0.0,0.0,0.0
2009-07-21 00:00:00-04:00,26557.127491575535,27850.62532982579,26112.48760967701,26489.7578125,3138,0.0,0.0,0.0
2009-07-22 00:00:00-04:00,27742.83956708965,27810.20926006461,26381.9717689954,27109.564453125,3020,0.0,0.0,0.0
2009-07-23 00:00:00-04:00,27325.14664342427,27338.620581611358,24522.567500508958,24818.994140625,4068,0.0,0.0,0.0
2009-07-24 00:00:00-04:00,25236.685400197628,25263.6332756917,23794.974061264824,23862.34375,2910,0.0,0.0,0.0
2009-07-27 00:00:00-04:00,23700.654296875,24495.616550152787,23242.54045600306,23700.654296875,2406,0.0,0.0,0.0
2009-07-28 00:00:00-04:00,24576.46052452316,25991.223877086173,24172.242423790874,24724.673828125,3277,0.0,0.0,0.0
2009-07-29 00:00:00-04:00,25910.383353365385,27149.985677083336,25816.06578525641,26274.1796875,4141,0.0,0.0,0.0
2009-07-30 00:00:00-04:00,25613.956670290096,26314.601460850372,24657.30705240972,25371.42578125,2983,0.0,0.0,0.0
2009-07-31 00:00:00-04:00,26004.7042652027,26395.448526182434,24576.46662162162,24926.7890625,2650,0.0,0.0,0.0
2009-08-03 00:00:00-04:00,23538.96352462369,23821.91614856021,22663.157783867802,23161.693359375,3120,0.0,0.0,0.0
2009-08-04 00:00:00-04:00,23579.389018397178,23956.65924269153,22959.58793562788,23390.75390625,2823,0.0,0.0,0.0
2009-08-05 00:00:00-04:00,23471.597230990457,24333.929161405722,23336.857866863073,24010.5546875,2916,0.0,0.0,0.0
2009-08-06 00:00:00-04:00,23714.132519315674,25021.10459566432,23633.288885727095,24414.77734375,2226,0.0,0.0,0.0
2009-08-07 00:00:00-04:00,23727.607275015438,24926.787881191685,23619.815759853525,24549.517578125,2123,0.0,0.0,0.0
2009-08-10 00:00:00-04:00,24872.88902560764,24994.154465060765,23929.713385416668,24253.087890625,1754,0.0,0.0,0.0
2009-08-11 00:00:00-04:00,24589.9367102401,25560.06024072629,24509.093082699586,25357.951171875,2224,0.0,0.0,0.0
2009-08-12 00:00:00-04:00,25506.16657871705,25560.06233482633,23889.29389543863,24536.04296875,2131,0.0,0.0,0.0
2009-08-13 00:00:00-04:00,23875.81952461048,24980.68250486898,23768.028014341362,23781.501953125,1922,0.0,0.0,0.0
2009-08-14 00:00:00-04:00,23956.662154894984,25506.165050177846,23862.34458735603,24859.416015625,1834,0.0,0.0,0.0
2009-08-17 00:00:00-04:00,26530.184495639893,27540.729867490067,26435.866927600546,27136.51171875,2207,0.0,0.0,0.0
2009-08-18 00:00:00-04:00,26947.875478316324,27217.35423309949,26139.439213966834,26408.91796875,1557,0.0,0.0,0.0
2009-08-19 00:00:00-04:00,27325.146907868122,27405.990537773057,24428.25016960794,24980.681640625,2955,0.0,0.0,0.0
2009-08-20 00:00:00-04:00,25074.997526402352,25074.997526402352,24118.347970048475,24320.45703125,1646,0.0,0.0,0.0
2009-08-21 00:00:00-04:00,23552.44424544976,23579.3921221608,22191.576471542194,22393.685546875,2650,0.0,0.0,0.0
2009-08-24 00:00:00-04:00,21895.150413920277,21935.572230069054,21046.292274795982,21463.984375,2918,0.0,0.0,0.0
2009-08-25 00:00:00-04:00,21194.50503323368,22609.268560563327,20965.448081189832,22393.685546875,3810,0.0,0.0,0.0
2009-08-26 00:00:00-04:00,22851.799649176326,23215.5959879309,21922.097894581297,22083.78515625,3209,0.0,0.0,0.0
2009-08-27 00:00:00-04:00,22488.001576932544,23673.70807110274,22043.361641618718,22245.470703125,3418,0.0,0.0,0.0
2009-08-28 00:00:00-04:00,21733.460206540047,22797.90122099551,21679.56445897268,22501.474609375,2205,0.0,0.0,0.0
2009-08-31 00:00:00-04:00,23633.286437535655,24064.452438676555,23282.964061608673,23619.8125,2205,0.0,0.0,0.0
2009-09-01 00:00:00-04:00,23943.185873625538,25061.522636434158,23000.01029053393,24967.205078125,3057,0.0,0.0,0.0
2009-09-02 00:00:00-04:00,25398.377459876134,25398.377459876134,24347.410116708845,25290.5859375,2109,0.0,0.0,0.0
2009-09-03 00:00:00-04:00,24711.202088691123,25331.00323159177,24455.197268797376,24886.36328125,1419,0.0,0.0,0.0
2009-09-04 00:00:00-04:00,25075.00278400631,25075.00278400631,23606.343298000567,23754.556640625,1696,0.0,0.0,0.0
2009-09-08 00:00:00-04:00,22366.73618603576,22568.845247957768,21585.247813270653,21854.7265625,2120,0.0,0.0,0.0
2009-09-09 00:00:00-04:00,21639.144409179688,22097.25830078125,21059.765075683594,21558.30078125,2864,0.0,0.0,0.0
2009-09-10 00:00:00-04:00,21531.34933072235,21800.828045750164,20534.278085119437,20588.173828125,2350,0.0,0.0,0.0
2009-09-11 00:00:00-04:00,20305.223040471312,20965.445952868853,19685.421939036885,20547.75390625,2571,0.0,0.0,0.0
2009-09-14 00:00:00-04:00,21275.347246576486,21450.508433533734,20062.692875334,20170.484375,2677,0.0,0.0,0.0
2009-09-15 00:00:00-04:00,19793.21324097938,20305.222841494844,19429.416945876288,19604.578125,3244,0.0,0.0,0.0
2009-09-16 00:00:00-04:00,19240.78370436947,19281.20551887445,18203.290465408372,18270.66015625,2801,0.0,0.0,0.0
2009-09-17 00:00:00-04:00,18391.92341649255,18823.08938669604,17947.283509720204,18540.13671875,2627,0.0,0.0,0.0
2009-09-18 00:00:00-04:00,18257.182857789856,19052.145063405795,18149.391372282607,18594.03125,2361,0.0,0.0,0.0
2009-09-21 00:00:00-04:00,19550.68483464002,19645.002404483217,18903.93578428666,19065.623046875,2456,0.0,0.0,0.0
2009-09-22 00:00:00-04:00,18230.235588282987,18688.34941681338,18055.074418550776,18176.33984375,3196,0.0,0.0,0.0
2009-09-23 00:00:00-04:00,18095.499063157433,19227.309875745093,18041.60331017707,19213.8359375,3798,0.0,0.0,0.0
2009-09-24 00:00:00-04:00,19065.62318207115,20426.49098517305,19011.72742749286,20049.220703125,4731,0.0,0.0,0.0
2009-09-25 00:00:00-04:00,20264.80100235849,20359.11856021521,19348.573297464623,19995.322265625,3011,0.0,0.0,0.0
2009-09-28 00:00:00-04:00,19887.531327133285,20049.218573695347,18903.933910547425,19106.04296875,1547,0.0,0.0,0.0
2009-09-29 00:00:00-04:00,19106.046261553696,19550.686266230194,18823.093531305018,19132.994140625,2354,0.0,0.0,0.0
2009-09-30 00:00:00-04:00,18782.665189407075,20183.95441444175,18782.665189407075,19429.4140625,2689,0.0,0.0,0.0
2009-10-01 00:00:00-04:00,19483.31410417336,20965.447265625,19483.31410417336,20965.447265625,2523,0.0,0.0,0.0
2009-10-02 00:00:00-04:00,21787.358480438932,21868.202111164122,20776.813096374044,21181.03125,2396,0.0,0.0,0.0
2009-10-05 00:00:00-04:00,20938.493215460527,21288.815495770676,19550.678028078008,19712.365234375,1985,0.0,0.0,0.0
2009-10-06 00:00:00-04:00,18850.041288977518,19079.09825960841,18176.34431653372,18580.5625,2050,0.0,0.0,0.0
2009-10-07 00:00:00-04:00,18647.927676590236,18944.3542726054,18203.28778256749,18216.76171875,1780,0.0,0.0,0.0
